X500, h500, X1000, h1000, X1500, h1500, X2000, h2000, X3500, h3500, X4500, h4500, X7500, h7500, X10000, h10000, X61n1500, h61n1500, X61n2500, h61n2500
5,62755, -12,81988, 6,101, 1,6856, 4,85327, 3,62516, 6,08292, 0,54643, , , , , 3,313, -39,7252, 4,997, 0,813, 5,447, -6,1292, 6,941, -4,507
5,80943, -12,38509, 6,221, 1,555, 4,92721, 3,86273, 6,21284, 0,75839, , , , , 3,38, -35,6026, 5,095, -0,2612, 5,553, -2,1678, 7,077, -5,9446
5,87927, -12,06211, 6,39014, 2,05155, 5,04585, 4,31149, 6,29385, 0,4354, , , , , 3,447, -31,338, 5,193, -0,1954, 5,66, -2,305, 7,213, -6,3018
5,9491, -12,70807, 6,46, 1,7106, 5,16278, 4,07391, 6,4253, 0,32438, , , , , 3,514, -26,733, 5,291, -0,1868, 5,767, -3,2944, 7,349, -7,2842
6,07415, -12,17391, 6,58, 2,0896, 5,23672, 4,07391, , , , , , , 3,581, -22,2132, 5,389, 0,3908, 5,874, -4,736, 7,485, -7,6986
6,15859, -12,49689, 6,7, 2,411, 5,35537, 4,31149, , , , , , , 3,648, -18,0624, 5,487, 1,6492, 5,981, -5,099, 7,621, -7,7712
6,28364, -12,70807, 6,819, 2,6294, 5,44478, 3,1764, , , , , , , 3,715, -14,139, 5,584, 3,5892, 6,087, -5,062, 7,757, -5,2858
, , 6,939, 2,6118, 5,56171, 3,1764, , , , , , , 3,782, -10,5844, 5,682, 5,5854, 6,194, -6,107, 7,893, -3,8804
, , 7,059, 2,3658, 5,65113, 2,49006, , , , , , , 3,849, -7,6544, 5,78, 5,082, 6,301, -5,3918, 8,029, 0,481
, , 7,178, 2,529, 5,76977, 2,49006, , , , , , , 3,90027, -3,54348, 5,878, 3,7804, 6,408, -5,74375, 8,165, 3,3074
, , 7,298, 2,3508, 5,85747, 2,49006, , , , , , , 3,96599, -0,17391, 5,976, 2,804, 6,514, -6,59, 8,302, 1,2444
, , 7,417, 2,3332, 5,94689, 2,93882, , , , , , , 4,00573, 2,23913, 6,074, 1,15467, , , 8,438, -0,761
, , 7,537, 2,9406, 6,06553, 2,49006, , , , , , , 4,0577, 3,73913, , , , , 8,574, -2,0276
, , 7,657, 3,1935, 6,1687, 1,80373, , , , , , , 4,12342, 5,80435, , , , , 8,71, -5,2274
, , 7,776, 3,435, 6,22717, 1,35497, , , , , , , 4,17692, 6,91304, , , , , 8,846, -5,413
, , , , 6,33206, 2,0413, , , , , , , 4,29461, 8,04348, , , , , 8,982, -4,5192
, , , , 6,46446, 1,80373, , , , , , , 4,40008, 7,30435, , , , , 9,118, -4,28575
, , , , 6,56763, 1,80373, , , , , , , 4,49178, 5,97826, , , , , 9,254, -5,161
, , , , 6,67081, 1,59255, , , , , , , 4,54375, 4,5, , , , , , 
, , , , 6,74475, 2,49006, , , , , , , 4,60948, 2,80435, , , , , , 
, , , , 6,83416, 1,59255, , , , , , , 4,652, 1,6604, , , , , , 
, , , , , , , , , , , , 4,719, 1,2128, , , , , , 
, , , , , , , , , , , , 4,786, -0,3418, , , , , , 
, , , , , , , , , , , , 4,86015, -0,73913, , , , , , 
, , , , , , , , , , , , 4,92587, -0,93478, , , , , , 
, , , , , , , , , , , , 5,00382, -1,30435, , , , , , 
, , , , , , , , , , , , 5,0833, -0,93478, , , , , , 
, , , , , , , , , , , , 5,121, -0,8318, , , , , , 
, , , , , , , , , , , , 5,187, -0,3908, , , , , , 
, , , , , , , , , , , , 5,254, 0,5044, , , , , , 
, , , , , , , , , , , , 5,38594, 1,5, , , , , , 
, , , , , , , , , , , , 5,45166, 2,06522, , , , , , 
, , , , , , , , , , , , 5,50363, 2,43478, , , , , , 
, , , , , , , , , , , , 5,58311, 2,80435, , , , , , 
, , , , , , , , , , , , 5,64883, 2,43478, , , , , , 
, , , , , , , , , , , , 5,71456, 2,43478, , , , , , 
, , , , , , , , , , , , 5,76653, 2,80435, , , , , , 
